county,office,district,candidate,incumbent,party,votes,pct
BLANCO,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,542,60.02
BLANCO,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,903,
BRAZORIA,District Judge,412th Judicial District,Keith Allen,False,REP,2679,29.02
BRAZORIA,District Judge,412th Judicial District,Justin R Gilbert,False,REP,6554,70.98
BRAZORIA,District Judge,412th Judicial District,Total,,,9233,
BURLESON,State Representative,13,Ben Leman,False,REP,541,59.78
BURLESON,State Representative,13,Jill Wolfskill,False,REP,364,40.22
BURLESON,State Representative,13,Total,,,905,
BURNET,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,984,42.11
BURNET,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,1353,57.89
BURNET,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,2337,
CALDWELL,U. S. Representative,27,Bech Bruun,False,REP,372,43.97
CALDWELL,U. S. Representative,27,Michael Cloud,False,REP,474,56.03
CALDWELL,U. S. Representative,27,Total,,,846,
CALDWELL,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,765,53.16
CALDWELL,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,674,46.84
CALDWELL,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,1439,
CALHOUN,U. S. Representative,27,Bech Bruun,False,REP,187,23.32
CALHOUN,U. S. Representative,27,Michael Cloud,False,REP,615,76.68
CALHOUN,U. S. Representative,27,Total,,,802,
CHEROKEE,U. S. Representative,5,Lance Gooden,False,REP,1142,47.44
CHEROKEE,U. S. Representative,5,Bunni Pounds,False,REP,1265,52.56
CHEROKEE,U. S. Representative,5,Total,,,2407,
COKE,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,127,66.84
COKE,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,63,33.16
COKE,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,190,
COLORADO,State Representative,13,Ben Leman,False,REP,620,50.70
COLORADO,State Representative,13,Jill Wolfskill,False,REP,603,49.30
COLORADO,State Representative,13,Total,,,1223,
COMAL,U. S. Representative,21,Matt McCall,False,REP,2635,41.34
COMAL,U. S. Representative,21,Chip Roy,False,REP,3739,58.66
COMAL,U. S. Representative,21,Total,,,6374,
COMAL,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,2835,42.85
COMAL,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,3781,57.15
COMAL,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,6616,
CONCHO,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,161,57.30
CONCHO,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,120,42.70
CONCHO,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,281,
DALLAS,U. S. Representative,5,Lance Gooden,False,REP,2531,43.34
DALLAS,U. S. Representative,5,Bunni Pounds,False,REP,3309,56.66
DALLAS,U. S. Representative,5,Total,,,5840,
DALLAS,State Representative,107,Deanna Maria Metzger,False,REP,2253,56.00
DALLAS,State Representative,107,Joe Ruzicka,False,REP,1770,44.00
DALLAS,State Representative,107,Total,,,4023,
DALLAS,"Justice, 5th Court of Appeals District, Place 12",,"William ""Randy"" Johnson",False,REP,7719,39.81
DALLAS,"Justice, 5th Court of Appeals District, Place 12",,Jim Pikl,False,REP,11671,60.19
DALLAS,"Justice, 5th Court of Appeals District, Place 12",,Total,,,19390,
DELTA,State Representative,62,Brent Lawson,False,REP,113,29.50
DELTA,State Representative,62,Reggie Smith,False,REP,270,70.50
DELTA,State Representative,62,Total,,,383,
ELLIS,U. S. Representative,6,"J.K. ""Jake"" Ellzey",False,REP,5579,62.57
ELLIS,U. S. Representative,6,Ron Wright,False,REP,3337,37.43
ELLIS,U. S. Representative,6,Total,,,8916,
ELLIS,District Judge,378th Judicial District,Shani Flemins,False,REP,3348,38.32
ELLIS,District Judge,378th Judicial District,William (Doug) Wallace,False,REP,5388,61.68
ELLIS,District Judge,378th Judicial District,Total,,,8736,
FANNIN,State Representative,62,Brent Lawson,False,REP,585,34.84
FANNIN,State Representative,62,Reggie Smith,False,REP,1094,65.16
FANNIN,State Representative,62,Total,,,1679,
FAYETTE,State Representative,13,Ben Leman,False,REP,2418,59.26
FAYETTE,State Representative,13,Jill Wolfskill,False,REP,1662,40.74
FAYETTE,State Representative,13,Total,,,4080,
FAYETTE,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,1594,46.20
FAYETTE,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,1856,53.80
FAYETTE,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,3450,
FREESTONE,State Representative,8,Cody Harris,False,REP,1081,50.85
FREESTONE,State Representative,8,Thomas McNutt,False,REP,1045,49.15
FREESTONE,State Representative,8,Total,,,2126,
GILLESPIE,U. S. Representative,21,Matt McCall,False,REP,1016,51.60
GILLESPIE,U. S. Representative,21,Chip Roy,False,REP,953,48.40
GILLESPIE,U. S. Representative,21,Total,,,1969,
GONZALES,U. S. Representative,27,Bech Bruun,False,REP,114,28.72
GONZALES,U. S. Representative,27,Michael Cloud,False,REP,283,71.28
GONZALES,U. S. Representative,27,Total,,,397,
GRAYSON,State Representative,62,Brent Lawson,False,REP,1833,27.24
GRAYSON,State Representative,62,Reggie Smith,False,REP,4895,72.76
GRAYSON,State Representative,62,Total,,,6728,
GRAYSON,"Justice, 5th Court of Appeals District, Place 12",,"William ""Randy"" Johnson",False,REP,3517,61.10
GRAYSON,"Justice, 5th Court of Appeals District, Place 12",,Jim Pikl,False,REP,2239,38.90
GRAYSON,"Justice, 5th Court of Appeals District, Place 12",,Total,,,5756,
GRIMES,State Representative,13,Ben Leman,False,REP,1288,66.74
GRIMES,State Representative,13,Jill Wolfskill,False,REP,642,33.26
GRIMES,State Representative,13,Total,,,1930,
HARRIS,U. S. Representative,2,Dan Crenshaw,False,REP,20392,69.84
HARRIS,U. S. Representative,2,Kevin Roberts,False,REP,8808,30.16
HARRIS,U. S. Representative,2,Total,,,29200,
HARRIS,U. S. Representative,29,Phillip Aronoff,False,REP,1153,51.82
HARRIS,U. S. Representative,29,Carmen Maria Montiel,False,REP,1072,48.18
HARRIS,U. S. Representative,29,Total,,,2225,
HARRIS,District Judge,295th Judicial District,Michelle Fraga,False,REP,23768,50.09
HARRIS,District Judge,295th Judicial District,Richard Risinger,False,REP,23679,49.91
HARRIS,District Judge,295th Judicial District,Total,,,47447,
HAYS,U. S. Representative,21,Matt McCall,False,REP,401,33.50
HAYS,U. S. Representative,21,Chip Roy,False,REP,796,66.50
HAYS,U. S. Representative,21,Total,,,1197,
HAYS,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,1745,49.13
HAYS,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,1807,50.87
HAYS,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,3552,
HENDERSON,U. S. Representative,5,Lance Gooden,False,REP,4042,61.21
HENDERSON,U. S. Representative,5,Bunni Pounds,False,REP,2561,38.79
HENDERSON,U. S. Representative,5,Total,,,6603,
HENDERSON,State Representative,4,Keith Bell,False,REP,3080,52.78
HENDERSON,State Representative,4,Stuart Spitzer,False,REP,2756,47.22
HENDERSON,State Representative,4,Total,,,5836,
HILL,State Representative,8,Cody Harris,False,REP,1724,56.25
HILL,State Representative,8,Thomas McNutt,False,REP,1341,43.75
HILL,State Representative,8,Total,,,3065,
IRION,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,28,50.00
IRION,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,28,50.00
IRION,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,56,
JACKSON,U. S. Representative,27,Bech Bruun,False,REP,133,24.27
JACKSON,U. S. Representative,27,Michael Cloud,False,REP,415,75.73
JACKSON,U. S. Representative,27,Total,,,548,
KAUFMAN,U. S. Representative,5,Lance Gooden,False,REP,4960,60.61
KAUFMAN,U. S. Representative,5,Bunni Pounds,False,REP,3223,39.39
KAUFMAN,U. S. Representative,5,Total,,,8183,
KAUFMAN,State Representative,4,Keith Bell,False,REP,5107,62.21
KAUFMAN,State Representative,4,Stuart Spitzer,False,REP,3102,37.79
KAUFMAN,State Representative,4,Total,,,8209,
KAUFMAN,"Justice, 5th Court of Appeals District, Place 12",,"William ""Randy"" Johnson",False,REP,3508,49.44
KAUFMAN,"Justice, 5th Court of Appeals District, Place 12",,Jim Pikl,False,REP,3588,50.56
KAUFMAN,"Justice, 5th Court of Appeals District, Place 12",,Total,,,7096,
KENDALL,U. S. Representative,21,Matt McCall,False,REP,1892,66.50
KENDALL,U. S. Representative,21,Chip Roy,False,REP,953,33.50
KENDALL,U. S. Representative,21,Total,,,2845,
KERR,U. S. Representative,21,Matt McCall,False,REP,1908,57.07
KERR,U. S. Representative,21,Chip Roy,False,REP,1435,42.93
KERR,U. S. Representative,21,Total,,,3343,
LAMPASAS,State Representative,54,Brad Buckley,False,REP,1558,59.26
LAMPASAS,State Representative,54,Scott Cosper,True,REP,1071,40.74
LAMPASAS,State Representative,54,Total,,,2629,
LAMPASAS,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,957,43.76
LAMPASAS,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,1230,56.24
LAMPASAS,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,2187,
LAVACA,U. S. Representative,27,Bech Bruun,False,REP,197,17.06
LAVACA,U. S. Representative,27,Michael Cloud,False,REP,958,82.94
LAVACA,U. S. Representative,27,Total,,,1155,
LAVACA,State Representative,13,Ben Leman,False,REP,754,65.22
LAVACA,State Representative,13,Jill Wolfskill,False,REP,402,34.78
LAVACA,State Representative,13,Total,,,1156,
LEE,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,117,47.37
LEE,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,130,52.63
LEE,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,247,
LLANO,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,406,38.45
LLANO,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,650,61.55
LLANO,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,1056,
MATAGORDA,U. S. Representative,27,Bech Bruun,False,REP,246,36.66
MATAGORDA,U. S. Representative,27,Michael Cloud,False,REP,425,63.34
MATAGORDA,U. S. Representative,27,Total,,,671,
MCCULLOCH,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,131,39.22
MCCULLOCH,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,203,60.78
MCCULLOCH,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,334,
MILAM,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,149,57.75
MILAM,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,109,42.25
MILAM,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,258,
MILLS,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,440,57.52
MILLS,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,325,42.48
MILLS,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,765,
NAVARRO,U. S. Representative,6,"J.K. ""Jake"" Ellzey",False,REP,2662,56.80
NAVARRO,U. S. Representative,6,Ron Wright,False,REP,2025,43.20
NAVARRO,U. S. Representative,6,Total,,,4687,
NAVARRO,State Representative,8,Cody Harris,False,REP,2409,48.21
NAVARRO,State Representative,8,Thomas McNutt,False,REP,2588,51.79
NAVARRO,State Representative,8,Total,,,4997,
NUECES,U. S. Representative,27,Bech Bruun,False,REP,4686,53.03
NUECES,U. S. Representative,27,Michael Cloud,False,REP,4151,46.97
NUECES,U. S. Representative,27,Total,,,8837,
POLK,District Judge,258th Judicial District,Travis Kitchens,False,REP,1051,44.70
POLK,District Judge,258th Judicial District,John Wells,False,REP,1300,55.30
POLK,District Judge,258th Judicial District,Total,,,2351,
POTTER,District Judge,320th Judicial District,Steven Michael Denny,False,REP,1364,42.28
POTTER,District Judge,320th Judicial District,Pamela Cook Sirmon,False,REP,1862,57.72
POTTER,District Judge,320th Judicial District,Total,,,3226,
REFUGIO,U. S. Representative,27,Bech Bruun,False,REP,76,40.86
REFUGIO,U. S. Representative,27,Michael Cloud,False,REP,110,59.14
REFUGIO,U. S. Representative,27,Total,,,186,
ROCKWALL,"Justice, 5th Court of Appeals District, Place 12",,"William ""Randy"" Johnson",False,REP,424,32.00
ROCKWALL,"Justice, 5th Court of Appeals District, Place 12",,Jim Pikl,False,REP,901,68.00
ROCKWALL,"Justice, 5th Court of Appeals District, Place 12",,Total,,,1325,
RUNNELS,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,367,55.69
RUNNELS,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,292,44.31
RUNNELS,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,659,
SAN JACINTO,District Judge,258th Judicial District,Travis Kitchens,False,REP,559,47.05
SAN JACINTO,District Judge,258th Judicial District,John Wells,False,REP,629,52.95
SAN JACINTO,District Judge,258th Judicial District,Total,,,1188,
SAN PATRICIO,U. S. Representative,27,Bech Bruun,False,REP,873,46.39
SAN PATRICIO,U. S. Representative,27,Michael Cloud,False,REP,1009,53.61
SAN PATRICIO,U. S. Representative,27,Total,,,1882,
SAN SABA,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,62,74.70
SAN SABA,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,21,25.30
SAN SABA,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,83,
SCHLEICHER,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,38,36.54
SCHLEICHER,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,66,63.46
SCHLEICHER,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,104,
STERLING,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,8,88.89
STERLING,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,1,11.11
STERLING,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,9,
TARRANT,U. S. Representative,6,"J.K. ""Jake"" Ellzey",False,REP,3470,31.88
TARRANT,U. S. Representative,6,Ron Wright,False,REP,7413,68.12
TARRANT,U. S. Representative,6,Total,,,10883,
TARRANT,District Judge,342nd Judicial District,Kimberly Fitzpatrick,False,REP,17432,54.03
TARRANT,District Judge,342nd Judicial District,Pat Gallagher,False,REP,14832,45.97
TARRANT,District Judge,342nd Judicial District,Total,,,32264,
TOM GREEN,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,763,43.13
TOM GREEN,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,1006,56.87
TOM GREEN,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,1769,
TRAVIS,U. S. Representative,21,Matt McCall,False,REP,1008,35.99
TRAVIS,U. S. Representative,21,Chip Roy,False,REP,1793,64.01
TRAVIS,U. S. Representative,21,Total,,,2801,
TRAVIS,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,5423,53.76
TRAVIS,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,4665,46.24
TRAVIS,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,10088,
TRINITY,District Judge,258th Judicial District,Travis Kitchens,False,REP,997,66.96
TRINITY,District Judge,258th Judicial District,John Wells,False,REP,492,33.04
TRINITY,District Judge,258th Judicial District,Total,,,1489,
VAN ZANDT,U. S. Representative,5,Lance Gooden,False,REP,2438,48.41
VAN ZANDT,U. S. Representative,5,Bunni Pounds,False,REP,2598,51.59
VAN ZANDT,U. S. Representative,5,Total,,,5036,
VAN ZANDT,District Judge,294th Judicial District,Tina Brumbelow,False,REP,2507,48.96
VAN ZANDT,District Judge,294th Judicial District,Chris Martin,False,REP,2613,51.04
VAN ZANDT,District Judge,294th Judicial District,Total,,,5120,
VICTORIA,U. S. Representative,27,Bech Bruun,False,REP,752,15.37
VICTORIA,U. S. Representative,27,Michael Cloud,False,REP,4140,84.63
VICTORIA,U. S. Representative,27,Total,,,4892,
WASHINGTON,State Representative,13,Ben Leman,False,REP,1490,55.21
WASHINGTON,State Representative,13,Jill Wolfskill,False,REP,1209,44.79
WASHINGTON,State Representative,13,Total,,,2699,
WHARTON,U. S. Representative,27,Bech Bruun,False,REP,889,43.28
WHARTON,U. S. Representative,27,Michael Cloud,False,REP,1165,56.72
WHARTON,U. S. Representative,27,Total,,,2054,
WILLIAMSON,"Justice, 3rd Court of Appeals District, Place 6",,Donna Davidson,False,REP,3963,45.84
WILLIAMSON,"Justice, 3rd Court of Appeals District, Place 6",,"Michael (""Mike"") Toth",False,REP,4682,54.16
WILLIAMSON,"Justice, 3rd Court of Appeals District, Place 6",,Total,,,8645,
